iter	Passed	Remaining
0	0	92
1	1	88
2	2	84
3	3	75
4	3	73
5	4	70
6	5	68
7	5	65
8	6	64
9	6	62
10	7	61
11	8	60
12	8	58
13	9	57
14	10	56
15	10	55
16	11	54
17	11	53
18	12	52
19	13	52
20	13	51
21	14	50
22	14	49
23	15	49
24	16	48
25	16	47
26	17	46
27	17	45
28	18	45
29	19	44
30	19	43
31	20	43
32	20	42
33	21	41
34	22	41
35	22	40
36	23	39
37	24	39
38	24	38
39	25	37
40	25	37
41	26	36
42	26	35
43	27	34
44	28	34
45	28	33
46	29	33
47	29	32
48	30	31
49	31	31
50	31	30
51	32	29
52	33	29
53	33	28
54	34	27
55	34	27
56	35	26
57	35	26
58	36	25
59	37	24
60	37	24
61	38	23
62	39	22
63	39	22
64	40	21
65	40	21
66	41	20
67	42	19
68	42	19
69	43	18
70	44	18
71	44	17
72	45	16
73	46	16
74	46	15
75	47	14
76	47	14
77	48	13
78	49	13
79	49	12
80	50	11
81	51	11
82	51	10
83	52	9
84	52	9
85	53	8
86	54	8
87	54	7
88	55	6
89	55	6
90	56	5
91	57	4
92	57	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	62	0
